idFile1,idFile2,Score
35477,206359209,0.994951
16668,90148258,0.994951
35843,207645242,0.994326
32546,202003159,0.992773
36053,90141687,0.992449
33662,205521002,0.990843
32880,205106048,0.990431
38106,202026554,0.988867
22306,202291459,0.986884
37807,207682397,0.986773
19141,90145586,0.986456
37825,205505156,0.985647
13213,203025617,0.983486
38221,203343197,0.983009
32512,205466519,0.981770
28067,203922244,0.981613
34836,208653775,0.981613
6726,203111433,0.981613
32314,207509842,0.981613
24402,203897877,0.981613
38733,207979206,0.981613
23837,202635467,0.980939
31332,205761272,0.980328
33758,207910212,0.979948
16669,90140203,0.979666
34301,206615080,0.979610
38794,209704118,0.978745
39175,204822679,0.977468
38697,206892248,0.977237
32878,202870174,0.977160
39179,10365096,0.976659
35308,208270234,0.975987
29273,202070807,0.974477
32563,206615085,0.974302
13202,10379358,0.973196
27783,202293522,0.972646
35903,205769439,0.972032
32653,205888207,0.969541
30355,206460124,0.965842
37803,207875395,0.964629
37808,204740188,0.964378
34727,207666379,0.963592
34725,207666381,0.963172
38346,208167531,0.959574
32584,206179562,0.959168
23246,204787802,0.958400
16765,204569335,0.957930
36803,207469300,0.954931
33786,206854515,0.954285
34151,206854516,0.953951
28500,203445749,0.953353
33784,207538225,0.952867
25732,203341506,0.952838
27479,10351869,0.950705
38507,206181767,0.948254
37767,204588748,0.948155
35306,207543196,0.947305
37812,209245958,0.942532
27364,204791586,0.942289
32405,203938179,0.942127
17873,90145584,0.940945
34751,207543189,0.940032
33638,207659192,0.935621
31992,203952966,0.933110
21297,202070149,0.932880
22382,90131941,0.932024
36260,10316920,0.930602
27778,205844282,0.929825
17872,90145561,0.929151
32384,202989028,0.928153
28980,204559211,0.926401
38939,204823067,0.926042
36274,206870289,0.924967
38327,207390671,0.923710
38466,206576716,0.923373
28963,202106724,0.923033
32034,10333368,0.921726
38457,206671732,0.921530
34309,208455893,0.920441
38345,208890628,0.920283
27857,204035273,0.918482
21047,10373002,0.917047
17372,10363243,0.916524
32877,204297424,0.915280
33664,205520997,0.913207
38001,209871973,0.912157
22558,10412590,0.911663
38129,210227261,0.911418
31397,202870172,0.909868
34174,205817784,0.908962
25036,202502745,0.908631
35525,207543201,0.904739
33936,207391019,0.904391
33948,207391018,0.904210
34723,207666380,0.902622
25788,203396327,0.898232
17067,90140498,0.894572
33998,208112354,0.890201
34724,207666382,0.890015
36636,206783256,0.889402
26082,204274660,0.888988
28397,203087319,0.888429
30219,207910337,0.887442
25364,203201060,0.887217
32005,202899998,0.886922
38452,208226470,0.885309
23296,201647442,0.884297
31273,203086857,0.884099
6493,203017999,0.880662
33564,208504179,0.880324
35851,206462228,0.879603
29820,202882380,0.878533
36033,202861078,0.877075
33477,208154551,0.877056
17191,202041195,0.876821
35282,207937987,0.876190
16309,203022472,0.874870
33763,208504099,0.873423
38704,209114575,0.871964
580,202812620,0.871663
35694,208184891,0.868982
33485,208792604,0.868698
25749,202827715,0.868224
34130,207900174,0.867865
14061,203025423,0.867050
34824,207390710,0.866937
33471,208294727,0.866067
33220,208653767,0.865252
39088,205074757,0.865061
26461,200924629,0.864967
33488,208154765,0.863785
33478,208154550,0.859422
35680,208156276,0.857251
35467,201699873,0.854138
22042,206780877,0.853152
34719,207543188,0.853101
19358,90144996,0.852193
31392,205753566,0.848759
31830,205557539,0.847341
33931,207391017,0.846106
36027,203396159,0.846024
32579,10388980,0.843847
37811,209245960,0.841565
33767,208112357,0.839920
24316,204569292,0.839629
34728,207534895,0.837113
32561,207338879,0.827633
33537,206898358,0.827132
28433,203142438,0.826561
25550,202827713,0.826290
36127,210402579,0.825842
34609,207543190,0.825536
21175,204549804,0.824338
36957,207390709,0.823757
34165,206928452,0.822623
27975,10360978,0.820939
36029,202785722,0.820516
33493,206928744,0.820337
27985,204740191,0.817643
25388,90145568,0.813829
28180,202916534,0.813145
35216,208294701,0.810885
38735,203329570,0.808629
29758,201692695,0.806608
17596,90139261,0.803725
24921,203340806,0.798918
37716,207899810,0.798857
34553,204793356,0.796127
25829,202827684,0.794196
30951,205599984,0.794055
27248,10246269,0.793270
27501,203928709,0.791072
33765,208455897,0.786489
34697,206783262,0.782973
35190,208117918,0.782134
34976,208504300,0.781858
36020,202472204,0.781504
34905,207514568,0.780593
33972,204556588,0.778551
38003,210404123,0.777130
33209,208653765,0.769562
38492,206725966,0.769293
34791,203185276,0.765846
37231,209114390,0.765722
5644,203023505,0.765277
31813,207533462,0.764586
33790,210252356,0.757091
23537,203069939,0.755706
38796,209310279,0.752967
34963,208114682,0.752847
38798,203934122,0.752535
32625,201935116,0.749900
32017,202916547,0.747866
25776,90114631,0.746977
23347,50012453,0.744537
36861,210442348,0.740696
36864,210442350,0.740469
36999,206761808,0.739102
16758,90137168,0.738272
38486,205865187,0.737931
35194,208504297,0.736865
33938,208464825,0.736383
31970,206419131,0.735455
26525,203921172,0.735277
38477,10011646,0.734146
36637,205728900,0.734096
30389,202813304,0.727245
36117,206901652,0.723337
37606,10353206,0.723188
22100,201953026,0.716519
33161,207390656,0.716202
35552,206928359,0.713695
38800,207986293,0.713018
35693,208184892,0.712575
36023,202451162,0.711953
18441,209002546,0.708913
37722,210401458,0.702379
34640,206120294,0.699736
34934,208117933,0.697734
34036,207390682,0.694115
36862,208342520,0.692995
34928,208117932,0.686116
37123,209114552,0.682893
26445,203407043,0.682344
32059,205131849,0.678594
34033,207390665,0.677047
30708,205083947,0.672294
35388,208294724,0.671819
36361,208226689,0.670979
32889,208085178,0.668323
35033,208226458,0.668086
35925,202592699,0.664653
36993,206928378,0.659980
33159,206725196,0.657943
35185,208504304,0.655178
26622,203201062,0.653749
38920,206870284,0.649759
29099,204222472,0.649498
30591,204849801,0.647941
35666,208289990,0.645567
35623,207514417,0.644337
36207,10363070,0.643115
29574,204559209,0.639612
30436,204505951,0.639218
36124,208504429,0.638761
37796,210239335,0.637668
19132,202778315,0.636879
34829,207682340,0.636834
32493,203324970,0.635576
33788,207543197,0.635525
32323,204222207,0.635285
33175,207542598,0.633371
33713,206812380,0.633205
33670,206917814,0.631380
32315,205083968,0.628991
21267,203087865,0.627056
36388,208226694,0.620611
34661,208294716,0.620501
29338,202143947,0.618908
26617,201692705,0.616250
36243,206678505,0.614088
34662,208294722,0.612406
36381,208226695,0.610003
33438,207390650,0.603772
31414,90120953,0.600344
38323,205664966,0.598984
34831,207682339,0.598728
34624,207934191,0.598425
20532,90105654,0.594341
27779,205844283,0.593989
36365,208226696,0.592675
33026,90145560,0.590192
38640,209890560,0.589754
19628,202778257,0.588022
36367,208464207,0.579599
32112,206356230,0.578057
38781,207920831,0.571640
34960,208455896,0.558888
32340,205761530,0.557768
33431,207390644,0.551067
25950,202870170,0.548424
37235,210256478,0.546605
33275,209253738,0.546221
38773,210441166,0.545732
35153,206887905,0.542611
33271,209253739,0.540930
36118,203142471,0.540262
31956,206356229,0.536667
27920,206725724,0.536064
36364,208226700,0.533080
34370,207390706,0.528840
33522,207654106,0.528330
28205,204419878,0.527579
36383,208226699,0.523555
34899,207959814,0.522644
38400,209208547,0.521940
33630,207659194,0.518351
33499,206725198,0.516678
22727,202619749,0.514377
33437,207464919,0.512582
33276,205865183,0.509338
33965,203329569,0.509062
28554,204443417,0.508952
30867,205554724,0.505791
25413,90049795,0.503363
11338,90140166,0.501089
29231,204206936,0.499728
36430,208226690,0.499433
29902,205144562,0.496515
33158,207338961,0.492880
33160,207390655,0.492161
37174,209208663,0.487271
19112,90148541,0.484417
36446,208226698,0.483311
33157,207390654,0.480466
34894,208504340,0.479720
33053,10412788,0.478967
37856,210252385,0.478118
34897,208504421,0.474560
16741,201959840,0.473800
34747,203388440,0.467106
36456,208226692,0.465317
27391,204791643,0.465007
37141,209194240,0.460734
34119,207514567,0.457544
28190,208464837,0.456065
33671,206917816,0.451773
30453,207390309,0.449659
34858,208294698,0.442737
36451,208237792,0.441877
35334,208504396,0.438219
38944,201965217,0.437741
38806,210536123,0.437615
36635,208409750,0.437567
21182,202486964,0.437039
28971,204679144,0.434775
34393,206362748,0.432052
34864,208294717,0.431899
31924,206356232,0.430044
33382,207910214,0.425191
22212,90131741,0.415610
32055,210206538,0.412750
34278,207934190,0.410428
24937,203324914,0.406936
34379,208973561,0.403798
30962,205599985,0.403264
23097,202635701,0.399625
36454,208237793,0.399076
23325,202456903,0.396326
33883,208177785,0.394425
34881,208294718,0.385167
32054,206901619,0.384757
24693,203087681,0.381098
36458,208237795,0.378148
37497,208410812,0.374217
26929,203651765,0.357293
37749,210399743,0.355001
9071,203024998,0.351096
37499,208043057,0.351060
37650,209122924,0.350118
35900,208190046,0.349491
34941,208504307,0.348964
26930,203920144,0.348169
34363,206892902,0.345423
4696,90049928,0.342678
22940,203472622,0.336659
28650,203131635,0.330648
25167,203324800,0.325748
38296,210647824,0.325708
33562,207542597,0.325194
24368,208972043,0.325098
31014,205777541,0.324310
27182,206481908,0.322270
32630,207554111,0.319442
37648,209122921,0.318070
25318,202049393,0.316254
38278,206725964,0.313899
30197,205593354,0.312750
31374,208455792,0.311675
29339,203888987,0.309261
36168,208171630,0.306870
34944,208042977,0.306147
38324,209393521,0.305155
36722,209656935,0.302874
38388,210399777,0.299501
14563,205106045,0.293426
35905,204238996,0.291260
36161,208171631,0.286955
30338,206460113,0.286924
32193,205809367,0.283363
37646,201953029,0.280188
35738,207642355,0.279256
28982,204559208,0.275843
34981,208504339,0.274464
36264,209000383,0.273416
25855,205986339,0.272531
10640,203024425,0.271047
34926,208117931,0.268647
32560,207540310,0.267984
27407,203930685,0.267875
36746,208930717,0.267082
21268,203086405,0.262479
37150,208791918,0.258681
33024,90049752,0.248688
38826,208294970,0.240414
24825,202900025,0.239495
37331,207686317,0.239332
33472,205777549,0.233980
26059,203870569,0.233565
30593,204860316,0.229470
34637,209934620,0.227769
26861,203388612,0.227130
33669,206917815,0.226711
37496,202985950,0.222190
19604,203025446,0.220585
37558,205690063,0.219416
36931,208370418,0.207011
33476,208504178,0.205240
38767,204154429,0.203472
37421,209896693,0.202174
36494,204740975,0.191940
34395,206362749,0.187883
38813,209301534,0.165552
34392,206362747,0.161734
37531,204226641,0.161049
20447,90128026,0.160232
38173,210441817,0.155692
31954,206356233,0.151219
27771,203405815,0.150071
39038,204348269,0.143051
25136,203087638,0.142716
20466,204736197,0.133693
36084,205664938,0.129105
31337,203884610,0.122273
35872,207937885,0.121006
32874,202870171,0.114717
37495,206746475,0.107104
33726,207993409,0.102415
36021,208226693,0.095366
34968,209297152,0.090796
28951,206722263,0.085878
29880,206728281,0.079714
37198,209656957,0.073728
38164,209700735,0.071596
37182,209705774,0.070050
28981,204559214,0.067760
37181,209705773,0.061726
28979,204559213,0.061552
29865,205664973,0.059654
37202,209656959,0.059211
37196,209656956,0.055231
37187,209656951,0.052611
37192,209656955,0.052571
28149,203131412,0.051958
37207,209656962,0.045447
16112,204559210,0.042436
26891,204219387,0.042432
16329,208294904,0.019959
